EBU_ID;ownICO;function;name;votedICO;rank
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;AL;11
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;AL;14
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;AL;4
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;AL;6
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;AL;2
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;AL;14
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;AL;4
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;AL;2
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;AL;9
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;AL;4
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;AL;11
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;AL;10
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;AL;10
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;AL;8
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;AL;11
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;AL;9
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;AL;9
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;AL;9
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;AL;2
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;AL;2
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;AL;1
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;AL;6
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;AL;9
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;AL;8
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;AL;8
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;AL;5
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;AL;13
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;AL;7
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;AL;5
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;AL;8
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;AL;4
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;AL;2
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;AL;5
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;AL;6
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;AL;10
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;AL;13
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;AL;7
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;AL;6
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;AL;4
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;AL;1
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;AL;8
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;AL;11
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;AL;10
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;AL;2
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;AL;9
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;AL;11
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;AL;6
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;AL;9
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;AL;8
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;AL;4
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;AL;12
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;AL;3
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;AL;7
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;AL;5
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;AL;3
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;AL;12
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;AL;3
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;AL;13
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;AL;12
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;AL;8
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;AL;13
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;AL;10
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;AL;0
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;AL;0
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;AL;0
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;AL;0
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;AL;0
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;AL;8
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;AL;11
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;AL;7
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;AL;11
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;AL;13
9e7c0575-6fea-43be-92e2-1b6a8b8a3788;AZ;juror1;Mrs. Ulviyya Ogtay Kerimova;AL;9
9e7c0575-72b1-4ed2-8374-338afb1439af;AZ;juror2;Mr. Tural Isa Bagmanov;AL;4
9e7c0575-6f3d-4fe1-a5fe-04524659611b;AZ;juror3;Mr. Azer Rauf Aydemir;AL;13
9e7c0575-70a4-4bf8-b19b-f871d193bba2;AZ;juror4;Mr. Ramil Adigozal Gasimov;AL;4
9e7c0575-714e-4776-97b6-6788a0635c21;AZ;juror5;Mrs. Ulviyya Firudin Babirli;AL;8
9e7c0575-c432-45dd-b25e-bf5d5ab1975b;IS;juror1;Mrs. Hulda Geirsdottir;NL;4
9e7c0575-c391-43c4-bcdd-91344e7e0aee;IS;juror2;Mr. Sindri Astmarsson;NL;1
9e7c0575-c246-4245-8257-2ab5093eee79;IS;juror3;Mrs. Anita Ros _orsteinsdottir;NL;3
9e7c0575-c4dd-435f-8414-24cbf63ca665;IS;juror4;Mr. Bjarni Arason;NL;3
9e7c0575-c2e6-4aa9-8bad-065872a1e071;IS;juror5;Mr. Andri _or Jonsson;NL;4
9e7c0575-d6e7-40dc-82fd-9a132598d9e2;IT;juror1;Mr. DIEGO CALVETTI;NL;12
9e7c0575-d63e-4f61-89f1-42f9c12f0dca;IT;juror2;Mrs. MANOLA MOSLEHI;NL;4
9e7c0575-d795-499d-bbd4-15fc0f6d3d3d;IT;juror3;Mr. MATTIA MARZI;NL;3
9e7c0575-d90d-419a-8cd7-c5e1aa439cb8;IT;juror4;Mrs. GIULIA AUSANI;NL;2
9e7c0575-d855-44df-bac8-19bbe7b8bd41;IT;juror5;Mr. SALVATORE CARUSOTTO;NL;4
9e7c0576-34f3-4a58-8ce9-44d707ffadef;SE;juror1;Mr. Michael Lennart Cederberg;NL;1
9e7c0576-35a1-45db-ab88-eceff22801dc;SE;juror2;Mrs. Anna Charlotta Gunnarson;NL;11
9e7c0576-3649-4cdb-8f38-9879683c05d8;SE;juror3;Mrs. Amanda Josefina Elisabeth Nordelius;NL;7
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;NL;1
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;NL;2
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;NL;10
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;NL;10
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;NL;4
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;NL;4
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;NL;3
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;NL;11
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;NL;3
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;NL;5
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;NL;3
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;NL;2
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;NL;2
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;NL;3
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;NL;5
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;NL;3
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;NL;1
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;NL;3
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;NL;1
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;NL;4
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;NL;3
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;NL;1
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;NL;3
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;NL;5
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;NL;4
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;NL;1
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;NL;4
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;NL;4
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;NL;2
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;NL;1
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;NL;1
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;NL;3
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;NL;1
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;NL;8
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;NL;2
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;NL;6
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;NL;3
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;NL;5
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;NL;3
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;NL;4
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;NL;3
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;NL;5
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;NL;6
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;NL;8
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;NL;6
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;NL;3
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;NL;11
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;NL;0
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;NL;0
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;NL;0
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;NL;0
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;NL;0
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;NL;1
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;NL;2
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;NL;1
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;NL;1
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;NL;7
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;NL;3
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;NL;5
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;NL;10
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;NL;4
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;NL;2
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;NL;1
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;NL;2
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;NL;2
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;NL;2
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;NL;2
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;NL;7
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;NL;6
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;NL;10
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;NL;7
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;NL;12
9e7c0575-6fea-43be-92e2-1b6a8b8a3788;AZ;juror1;Mrs. Ulviyya Ogtay Kerimova;NL;7
9e7c0575-72b1-4ed2-8374-338afb1439af;AZ;juror2;Mr. Tural Isa Bagmanov;NL;5
9e7c0575-6f3d-4fe1-a5fe-04524659611b;AZ;juror3;Mr. Azer Rauf Aydemir;NL;2
9e7c0575-70a4-4bf8-b19b-f871d193bba2;AZ;juror4;Mr. Ramil Adigozal Gasimov;NL;2
9e7c0575-714e-4776-97b6-6788a0635c21;AZ;juror5;Mrs. Ulviyya Firudin Babirli;NL;5
9e7c0575-c432-45dd-b25e-bf5d5ab1975b;IS;juror1;Mrs. Hulda Geirsdottir;HR;14
9e7c0575-c391-43c4-bcdd-91344e7e0aee;IS;juror2;Mr. Sindri Astmarsson;HR;4
9e7c0575-c246-4245-8257-2ab5093eee79;IS;juror3;Mrs. Anita Ros _orsteinsdottir;HR;14
9e7c0575-c4dd-435f-8414-24cbf63ca665;IS;juror4;Mr. Bjarni Arason;HR;11
9e7c0575-c2e6-4aa9-8bad-065872a1e071;IS;juror5;Mr. Andri _or Jonsson;HR;10
9e7c0575-d6e7-40dc-82fd-9a132598d9e2;IT;juror1;Mr. DIEGO CALVETTI;HR;3
9e7c0575-d63e-4f61-89f1-42f9c12f0dca;IT;juror2;Mrs. MANOLA MOSLEHI;HR;14
9e7c0575-d795-499d-bbd4-15fc0f6d3d3d;IT;juror3;Mr. MATTIA MARZI;HR;8
9e7c0575-d90d-419a-8cd7-c5e1aa439cb8;IT;juror4;Mrs. GIULIA AUSANI;HR;9
9e7c0575-d855-44df-bac8-19bbe7b8bd41;IT;juror5;Mr. SALVATORE CARUSOTTO;HR;5
9e7c0576-34f3-4a58-8ce9-44d707ffadef;SE;juror1;Mr. Michael Lennart Cederberg;HR;12
9e7c0576-35a1-45db-ab88-eceff22801dc;SE;juror2;Mrs. Anna Charlotta Gunnarson;HR;14
9e7c0576-3649-4cdb-8f38-9879683c05d8;SE;juror3;Mrs. Amanda Josefina Elisabeth Nordelius;HR;6
9e7c0576-3795-4148-bec1-dedc2c7b2571;SE;juror4;Mr. Kenny Krister Kevin Lantz;HR;10
9e7c0576-36eb-480a-b059-e86a2f76ed24;SE;juror5;Mr. Theodor Jan Haraldsson;HR;13
9e7c0575-fede-4d9e-85fc-82f4fd9e0c34;NO;juror1;Mr. Stian Tangerud;HR;13
9e7c0576-0027-4fcf-807e-363f1659c48e;NO;juror2;Mrs. Reidun Sather;HR;7
9e7c0576-019a-459d-a0ac-fd5154a1bc5a;NO;juror3;Mr. Kristian Kristensen;HR;7
9e7c0576-00df-442f-b2ae-93b7b60abefc;NO;juror4;Ms. Vanessa Joana Hutel Kure;HR;10
9e7c0575-ff89-421b-a1e0-0f70c22892fb;NO;juror5;Mrs. Iris Severin O. Mikalsen;HR;11
9e7c0576-3e72-4af3-b431-b92bf207627c;CH;juror1;Mr. Cyrill Camenzind;HR;10
9e7c0576-3ba9-464f-8b6e-be2d4964dcea;CH;juror2;Mrs. Tiffany Athena Limacher;HR;12
9e7c0576-3c63-414f-b115-e86cdf2a15c5;CH;juror3;Mr. Giordano Tatum Rush;HR;7
9e7c0576-3d0a-4fbb-9048-294699aeb1d4;CH;juror4;Mrs. Gabriela Mennel;HR;14
9e7c0576-3dbc-41a2-9a18-e6107e1e88a8;CH;juror5;Mrs. Mary Clapasson;HR;14
9e7c0575-765a-414d-8070-fcbf903bf9a4;BE;juror1;Mr. Xavier Taveirne;HR;6
9e7c0575-791f-410f-b735-162feb679931;BE;juror2;Mr. Indy Van Cauwenberg;HR;2
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;HR;4
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;HR;7
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;HR;3
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;HR;10
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;HR;8
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;HR;12
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;HR;9
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;HR;11
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;HR;14
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;HR;4
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;HR;6
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;HR;7
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;HR;6
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;HR;9
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;HR;13
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;HR;13
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;HR;9
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;HR;10
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;HR;14
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;HR;13
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;HR;7
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;HR;14
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;HR;14
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;HR;14
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;HR;6
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;HR;6
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;HR;9
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;HR;12
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;HR;7
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;HR;5
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;HR;10
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;HR;10
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;HR;3
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;HR;10
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;HR;5
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;HR;10
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;HR;14
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;HR;10
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;HR;11
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;HR;8
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;HR;12
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;HR;10
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;HR;10
9e7c0576-42b8-42b1-9187-b0933c023103;UA;juror1;Mr. Dmytro Shurov;HR;5
9e7c0576-4613-436b-84d6-661906eed597;UA;juror2;Mrs. Olena Shoptenko-Ivanova;HR;11
9e7c0576-4566-4ca5-ae57-92bc7d179d8b;UA;juror3;Mrs. Kateryna Pavlenko;HR;4
9e7c0576-4369-4830-8948-22d51da12cb3;UA;juror4;Mr. KOSTIANTYN BOCHAROV;HR;12
9e7c0576-46b1-4438-b326-0c3f30cc4c9c;UA;juror5;Mrs. Tetiana Reshetniak;HR;8
9e7c0575-570f-40ce-81c6-6b1423db9eac;AL;juror5;Mrs. Mikaela Minga;HR;6
9e7c0575-53e0-4672-8049-fc3a897b4413;AL;juror3;Mr. Alfred Kacinari;HR;7
9e7c0575-548c-4cff-a071-056cd8c5d341;AL;juror2;Mr. Shpetim Saraci;HR;10
9e7c0575-552a-4e3a-bb15-4590a26e956c;AL;juror1;Mrs. Blerta Ristani;HR;7
9e7c0575-5325-487e-9c41-f0892b1c01e6;AL;juror4;Mr. Ylljet Alicka;HR;13
9e7c0575-7d41-46d1-9b79-ed9443932c62;HR;juror1;Mr. Niksa Bratos;HR;0
9e7c0575-7f5d-4953-9dd9-0e42dd6670f7;HR;juror2;Mr. Miroslav Lesi;HR;0
9e7c0575-7ea0-4895-b9eb-a3b2b8601131;HR;juror3;Mrs. Monika Lelas Halambek;HR;0
9e7c0575-7df6-420c-be71-ab67f059cac9;HR;juror4;Mrs. Antonela Doko;HR;0
9e7c0575-800b-4237-9ed9-c880d770d545;HR;juror5;Mrs. Mia Elizabeta Negoveti;HR;0
